8-Index	12-Index
1	1
2	13
3	25
4	37
5	49
6	61
7	73
8	85
9	2
10	14
11	26
12	38
13	50
14	62
15	74
16	86
17	3
18	15
19	27
20	39
21	51
22	63
23	75
24	87
25	4
26	16
27	28
28	40
29	52
30	64
31	76
32	88
33	5
34	17
35	29
36	41
37	53
38	65
39	77
40	89
41	6
42	18
43	30
44	42
45	54
46	66
47	78
48	90
49	7
50	19
51	31
52	43
53	55
54	67
55	79
56	91
57	8
58	20
59	32
60	44
61	56
62	68
63	80
64	92
65	9
66	21
67	33
68	45
69	57
70	69
71	81
72	93
73	10
74	22
75	34
76	46
77	58
78	70
79	82
80	94
81	11
82	23
83	35
84	47
85	59
86	71
87	83
88	95
89	12
90	24
91	36
92	48
93	60
94	72
95	84
96	96
